state_name,state_abbr,mandate,test_out_option,early_adopter,broad_scope,region,population_2021,deaths_period,cases_period,mortality_rate_per_100k,case_rate_per_100k,announcement_date,mandate_scope,test_out_option_text
Alabama,Alabama,0,0,0,0,South,5049196.0,4221,281064,83.59746779487268,5566.509994858588,,,
Alaska,Alaska,0,0,0,0,West,734420.0,347,66306,47.248168622858856,9028.348901173715,,,
Arizona,Arizona,0,0,0,0,West,7274078.0,3215,273553,44.19804131877607,3760.6553022939815,,,
Arkansas,Arkansas,0,0,0,0,South,3026870.0,2467,163130,81.50333512836693,5389.3956463277245,,,
California,California,1,0,1,1,West,39142565.0,8496,1051077,21.70527148642405,2685.2532530762865,2021-07-26,"Healthcare facilities, high-risk congregate settings, in-home direct care settings",No
Colorado,Colorado,1,0,0,0,West,5814036.0,1424,184109,24.492452403115493,3166.6298591890386,2021-08-17,Healthcare facilities,No
Connecticut,Connecticut,1,0,0,1,Northeast,3606607.0,486,53196,13.475269138001451,1474.9597058953193,2021-08-06,"Long-term care facilities, state hospitals",No
Delaware,Delaware,1,1,0,1,South,1005062.0,397,34428,39.50005074313823,3425.4603198608643,2021-08-12,"Acute and outpatient providers, hospitals, home health agencies, long-term care facilities",Yes
District of Columbia,District of Columbia,1,0,0,0,South,669256.0,49,14878,7.321563049117229,2223.0656131584924,2021-08-16,Healthcare facilities,No
Florida,Florida,0,0,0,0,South,21831949.0,21757,1317027,99.65670037063572,6032.567225216585,,,
Georgia,Georgia,0,0,0,0,South,10792060.0,7304,487415,67.67938651193562,4516.4222585864045,,,
Hawaii,Hawaii,0,0,0,0,West,1447029.0,398,45151,27.50463190440551,3120.2553646125957,,,
Idaho,Idaho,0,0,0,0,West,1904848.0,1383,96205,72.60421828933332,5050.534215853444,,,
Illinois,Illinois,1,1,0,0,Midwest,12700641.0,2933,304637,23.093322612614593,2398.5954724647363,2021-08-26,Healthcare facilities,Yes
Indiana,Indiana,0,0,0,0,Midwest,6815907.0,2828,264531,41.49117644944393,3881.0828844935822,,,
Iowa,Iowa,0,0,0,0,Midwest,3198613.0,825,112172,25.792429406120718,3506.895019810149,,,
Kansas,Kansas,0,0,0,0,Midwest,2938338.0,1249,116075,42.50702267744555,3950.3624157602017,,,
Kentucky,Kentucky,0,0,0,0,South,4507583.0,2585,282776,57.347807017641166,6273.339836448935,,,
Louisiana,Louisiana,0,0,0,0,South,4627971.0,3799,276436,82.08780910684186,5973.157567322699,,,
Maine,Maine,1,0,0,0,Northeast,1378931.0,308,35205,22.33614299772795,2553.064656607183,2021-08-12,Healthcare facilities,No
Maryland,Maryland,1,1,0,0,South,6179403.0,1151,98930,18.626394815162563,1600.9637176924698,2021-08-18,"Hospitals, nursing homes",Yes
Massachusetts,Massachusetts,1,0,0,1,Northeast,7000474.0,999,141873,14.270462257270008,2026.6199117374053,2021-08-04,"Skilled nursing facilities, soldiers’ homes, assisted living facilities",No
Michigan,Michigan,0,0,0,0,Midwest,10041351.0,2643,273866,26.321159373873098,2727.3820026807152,,,
Minnesota,Minnesota,0,0,0,0,Midwest,5718660.0,1101,182133,19.252762010680826,3184.889467112925,,,
Mississippi,Mississippi,0,0,0,0,South,2947209.0,2660,182374,90.25488182208998,6188.023991511969,,,
Missouri,Missouri,0,0,0,0,Midwest,6171374.0,2839,236275,46.002721598140056,3828.5639470237907,,,
Montana,Montana,0,0,0,0,West,1106522.0,680,62112,61.45381655312772,5613.263902570397,,,
Nebraska,Nebraska,0,0,0,0,Midwest,1964537.0,500,59011,25.45128954048715,3003.812094147374,,,
Nevada,Nevada,0,0,0,0,West,3148141.0,1939,115067,61.59190455573623,3655.0777109411556,,,
New Hampshire,New Hampshire,0,0,0,0,Northeast,1387677.0,193,34990,13.908135682871446,2521.4801427133257,,,
New Jersey,New Jersey,1,1,0,1,Northeast,9270541.0,1509,175304,16.277367200037194,1890.979178022081,2021-08-02,"Healthcare facilities, high-risk congregate settings",Yes
New Mexico,New Mexico,1,0,0,1,West,2117333.0,706,69580,33.343833964709376,3286.2095853604515,2021-08-17,"Hospitals, congregate care facilities",No
New York,New York,1,0,1,0,Northeast,19848276.0,2888,444386,14.550382108753427,2238.914855879674,2021-07-28,Healthcare facilities,No
North Carolina,North Carolina,0,0,0,0,South,10564320.0,4621,464701,43.74157541611765,4398.778151362321,,,
North Dakota,North Dakota,0,0,0,0,Midwest,777966.0,239,37681,30.721136913438375,4843.527866256366,,,
Ohio,Ohio,0,0,0,0,Midwest,11767344.0,4218,433424,35.84496212569294,3683.278061727438,,,
Oklahoma,Oklahoma,0,0,0,0,South,3992238.0,3322,185828,83.21147186114656,4654.732508432614,,,
Oregon,Oregon,1,0,0,0,West,4254280.0,1564,156153,36.762977519110166,3670.4918341058888,2021-08-04,Healthcare facilities,No
Pennsylvania,Pennsylvania,1,1,0,1,Northeast,13015571.0,3770,347974,28.96530624741704,2673.5208159519084,2021-08-10,"State healthcare facilities, high-risk congregate care facilities",Yes
Puerto Rico,Puerto Rico,0,0,0,0,West,3262711.0,685,44754,20.994810757066748,1371.6814023675404,,,
Rhode Island,Rhode Island,1,0,0,0,Northeast,1097246.0,148,26787,13.488315291192677,2441.2939304403935,2021-08-18,"RIDOH-licensed healthcare facilities, RIDOH-licensed healthcare providers",No
South Carolina,South Carolina,0,0,0,0,South,5194274.0,3890,300131,74.89015789309536,5778.112590902982,,,
South Dakota,South Dakota,0,0,0,0,Midwest,896492.0,197,29921,21.97454076556177,3337.5646408445364,,,
Tennessee,Tennessee,0,0,0,0,South,6965740.0,3744,396681,53.74877615300026,5694.743128511831,,,
Texas,Texas,0,0,0,0,South,29570351.0,18963,1235143,64.12842377150004,4176.964284258919,,,
Utah,Utah,0,0,0,0,West,3339738.0,833,134248,24.942076294607542,4019.7165166848417,,,
Vermont,Vermont,0,0,0,0,Northeast,647210.0,107,15779,16.53250104293815,2438.003121088982,,,
Virginia,Virginia,0,0,0,0,South,8658910.0,2488,244207,28.733408708486404,2820.297242955522,,,
Washington,Washington,1,0,0,0,West,7743760.0,2694,273733,34.78930132132194,3534.884862134157,2021-08-09,Public and private healthcare providers,No
West Virginia,West Virginia,0,0,0,0,South,1785618.0,1529,108435,85.62861709503376,6072.687439306727,,,
Wisconsin,Wisconsin,0,0,0,0,Midwest,5881608.0,1282,204666,21.796760341729676,3479.762677145434,,,
Wyoming,Wyoming,0,0,0,0,West,579636.0,427,40573,73.66692199932372,6999.73776646033,,,
